T_DS_K,gamma,catalog_survival,photometric_recovery_all,host_pass_all,joint_photometry_and_host_pass,host_pass_given_photometric_recovery,photometric_recovery_given_host_pass,factorized_joint_estimate,factorization_ratio_joint_over_product,C_partial_final_source_level
100,0.1,0.9986666666666667,0.9223333333333333,0.442,0.4236666666666667,0.4593422479219371,0.9585218702865762,0.40767133333333333,1.039235855027007,0.3959553361111111
100,0.2,0.9986666666666667,0.9463333333333334,0.442,0.432,0.45649876717153925,0.9773755656108597,0.41827933333333334,1.0328026406595912,0.40374360000000004
100,0.3,0.9986666666666667,0.95,0.442,0.43233333333333335,0.4550877192982456,0.978129713423831,0.4199,1.0296102246566643,0.4040551305555556
100,0.5,0.9943333333333333,0.954,0.442,0.43166666666666664,0.4524807826694619,0.9766214177978884,0.421668,1.0237121779852079,0.40343206944444443
100,0.7,0.988,0.9336666666666666,0.442,0.424,0.4541235273116744,0.9592760180995475,0.41268066666666664,1.0274287948227927,0.39626686666666666
100,0.9,0.9183333333333333,0.548,0.442,0.25466666666666665,0.46472019464720193,0.5761689291101055,0.24221600000000001,1.0514031553104115,0.23800934444444444
150,0.1,0.9983333333333333,0.93,0.442,0.4256666666666667,0.45770609318996414,0.9630467571644042,0.41106000000000004,1.0355341474886066,0.3978245194444445
150,0.2,0.9983333333333333,0.947,0.442,0.432,0.45617740232312565,0.9773755656108597,0.418574,1.0320755708668001,0.40374360000000004
150,0.3,0.9986666666666667,0.9543333333333334,0.442,0.434,0.4547677261613692,0.9819004524886877,0.4218153333333334,1.0288862582836407,0.40561278333333334
150,0.5,0.9943333333333333,0.9556666666666667,0.442,0.432,0.45204046041158,0.9773755656108597,0.42240466666666665,1.0227159737818554,0.40374360000000004
150,0.7,0.988,0.9376666666666666,0.442,0.424,0.4521862779950231,0.9592760180995475,0.4144486666666667,1.0230458778167943,0.39626686666666666
150,0.9,0.919,0.555,0.442,0.25833333333333336,0.46546546546546547,0.5844645550527904,0.24531000000000003,1.053089288383406,0.24143618055555557
200,0.1,0.9986666666666667,0.9253333333333333,0.442,0.4236666666666667,0.45785302593659943,0.9585218702865762,0.4089973333333333,1.0358665745171933,0.3959553361111111
200,0.2,0.9983333333333333,0.9483333333333334,0.442,0.43366666666666664,0.45729349736379615,0.9811463046757164,0.41916333333333333,1.0346006727687695,0.4053012527777778
200,0.3,0.9986666666666667,0.949,0.442,0.43233333333333335,0.45556726378644186,0.978129713423831,0.419458,1.0306951669376514,0.4040551305555556
200,0.5,0.994,0.9526666666666667,0.442,0.43166666666666664,0.4531140657802659,0.9766214177978884,0.42107866666666666,1.0251449452042216,0.40343206944444443
200,0.7,0.988,0.939,0.442,0.42533333333333334,0.4529641462548811,0.9622926093514329,0.41503799999999996,1.0248057607576495,0.39751298888888886
200,0.9,0.9186666666666666,0.605,0.442,0.2743333333333333,0.4534435261707989,0.6206636500754148,0.26741,1.025890330703165,0.25638964722222224
250,0.1,0.998,0.9323333333333333,0.442,0.42533333333333334,0.45620307472291743,0.9622926093514329,0.41209133333333337,1.0321336532192702,0.39751298888888886
250,0.2,0.9986666666666667,0.953,0.442,0.43466666666666665,0.45610353270374254,0.9834087481146304,0.421226,1.0319084450310918,0.40623584444444444
250,0.3,0.9983333333333333,0.957,0.442,0.43433333333333335,0.453848833159178,0.9826546003016591,0.422994,1.0268073148397694,0.40592431388888894
250,0.5,0.9943333333333333,0.9533333333333334,0.442,0.43266666666666664,0.45384615384615384,0.9788838612368024,0.4213733333333334,1.0268012530455968,0.4043666611111111
250,0.7,0.989,0.942,0.442,0.426,0.45222929936305734,0.9638009049773756,0.41636399999999996,1.0231432112286365,0.39813605
250,0.9,0.9246666666666666,0.596,0.442,0.2773333333333333,0.465324384787472,0.6274509803921569,0.263432,1.0527701013291222,0.25919342222222225
300,0.1,0.9986666666666667,0.9383333333333334,0.442,0.4266666666666667,0.4547069271758437,0.9653092006033183,0.41474333333333335,1.0287487040177459,0.3987591111111111
300,0.2,0.9986666666666667,0.955,0.442,0.43466666666666665,0.4551483420593368,0.9834087481146304,0.42211,1.0297473802247439,0.40623584444444444
300,0.3,0.9986666666666667,0.96,0.442,0.436,0.45416666666666666,0.9864253393665159,0.42432,1.0275263951734541,0.4074819666666667
300,0.5,0.9936666666666667,0.9553333333333334,0.442,0.43366666666666664,0.4539427773900907,0.9811463046757164,0.4222573333333334,1.0270198583486214,0.4053012527777778
300,0.7,0.9896666666666667,0.95,0.442,0.431,0.4536842105263158,0.9751131221719457,0.4199,1.0264348654441533,0.40280900833333333
300,0.9,0.9363333333333334,0.7063333333333334,0.442,0.327,0.46295422369042,0.7398190045248869,0.31219933333333333,1.0474077459059277,0.305611475
400,0.1,0.9986666666666667,0.9436666666666667,0.442,0.42766666666666664,0.45319675026492406,0.9675716440422323,0.4171006666666667,1.0253320141740363,0.39969370277777777
